City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,margaret river,-33.95,115.0667,284.5,80,3,3.49,AU,1733435767
84,zykovo,55.9519,93.1461,264.5,91,91,1.99,RU,1733435768
85,ermelo,-26.5333,29.9833,289.97,52,100,2.04,ZA,1733435769
86,ibiza,38.9088,1.433,283.05,81,0,0.51,ES,1733435770
87,ascension,30.2169,-90.9001,287.59,74,100,2.57,US,1733435772
88,atafu village,-8.5421,-172.5159,301.62,64,3,5.53,TK,1733435773
89,east london,-33.0153,27.9116,293.31,72,100,3.36,ZA,1733435774
90,luderitz,-26.6481,15.1594,288.85,91,10,5.01,NA,1733435775
91,kuje,8.8796,7.2272,297.88,30,22,0.43,NG,1733435777
92,haiku-pauwela,20.9219,-156.3051,298.99,60,40,5.14,US,1733435778
93,ciudad lazaro cardenas,17.9583,-102.2,301.17,69,32,2.71,MX,1733435779
94,oxapampa,-10.5775,-75.4017,290.65,97,98,0.88,PE,1733435781
95,puerto natales,-51.7236,-72.4875,284.4,40,75,5.14,CL,1733435782
96,muravlenko,63.7898,74.523,260.6,84,75,8.04,RU,1733435783
97,prado,-17.3411,-39.2208,297.89,83,26,4.03,BR,1733435784
98,alegrete,-29.7831,-55.7919,301.96,57,29,3.65,BR,1733435786
99,wailua homesteads,22.0669,-159.378,293.63,91,100,4.63,US,1733435787
100,freetown,8.484,-13.2299,299.99,54,40,2.06,SL,1733435788
101,anadyr,64.75,177.4833,248.15,83,59,4.0,RU,1733435792
102,selfoss,63.9331,-20.9971,272.36,90,100,3.05,IS,1733435793
103,saint-joseph,-21.3667,55.6167,295.36,76,20,4.46,RE,1733435795
104,mount gambier,-37.8333,140.7667,290.08,92,100,2.37,AU,1733435796
105,erenhot,43.6475,111.9767,265.64,48,90,3.22,CN,1733435797
106,tagta,41.6504,59.9164,272.12,80,100,3.09,TM,1733435798
107,baiti,13.745,-14.7482,299.93,13,100,4.51,SN,1733435800
108,grand falls-windsor,48.9332,-55.6649,270.65,75,97,2.24,CA,1733435801
109,berdigestyakh,62.0989,126.6992,250.78,96,96,3.67,RU,1733435802
110,smedjebacken,60.1418,15.4142,271.01,94,100,2.39,SE,1733435805
111,kalmunai,7.4167,81.8167,298.22,88,100,3.21,LK,1733435806
112,eyl,7.9803,49.8164,298.05,73,5,8.0,SO,1733435808
113,cole harbour,44.6724,-63.4751,279.37,92,100,7.72,CA,1733435809
114,college,64.8569,-147.8028,264.12,76,100,2.57,US,1733435810
115,urangan,-25.3,152.9,298.6,77,17,5.35,AU,1733435811
116,ribeira grande,38.5167,-28.7,292.37,88,40,7.72,PT,1733435813
117,vila velha,-20.3297,-40.2925,298.68,76,0,7.72,BR,1733435817
118,hotan,37.0997,79.9269,271.28,46,7,0.53,CN,1733435818
119,shevchenko,48.5,35.0,274.7,87,100,3.29,UA,1733435819
120,mulki,13.1,74.8,297.75,94,20,0.0,IN,1733435822
121,port douglas,-16.4833,145.4667,299.86,87,100,5.24,AU,1733435823
122,cockburn town,21.4612,-71.1419,298.91,81,98,9.33,TC,1733435825
123,lamu,-2.2717,40.902,299.64,78,57,5.24,KE,1733435826
124,puerto baquerizo moreno,-0.9,-89.6,297.7,78,100,5.66,EC,1733435827
125,kangiwa,12.5521,3.8187,294.89,16,17,3.84,NG,1733435828
126,coxen hole,16.3244,-86.5366,299.75,69,75,4.12,HN,1733435830
127,susuman,62.7833,148.1667,246.13,100,100,0.46,RU,1733435831
128,malakanagiri,18.35,81.9,294.94,94,25,0.42,IN,1733435832
129,timimoun,29.2639,0.231,285.36,32,0,2.06,DZ,1733435833
130,invercargill,-46.4,168.35,286.49,92,100,4.92,NZ,1733435835
131,yemetsk,63.4721,41.7941,266.64,92,100,3.35,RU,1733435836
132,port blair,11.6667,92.75,298.17,100,40,1.03,IN,1733435837
133,figuig (centre),32.1089,-1.2286,285.28,45,0,1.42,MA,1733435839
134,whitehorse,60.7161,-135.0538,278.32,65,75,5.14,CA,1733435719
135,opuwo,-18.0607,13.84,292.69,39,4,3.2,NA,1733435841
136,north bend,43.4065,-124.2243,286.63,51,0,2.06,US,1733435842
137,longyearbyen,78.2186,15.6401,267.06,63,20,8.75,SJ,1733435844
138,awjilah,29.1081,21.2869,288.42,40,49,3.88,LY,1733435845
139,tonala,20.6167,-103.2333,300.67,13,11,1.04,MX,1733435757
140,carutapera,-1.195,-46.02,299.62,77,98,4.08,BR,1733435849
141,utrik,11.2278,169.8474,300.79,83,83,11.16,MH,1733435850
142,cabo san lucas,22.8909,-109.9124,300.24,54,51,1.34,MX,1733435851
143,touros,-5.1989,-35.4608,299.15,69,100,5.07,BR,1733435853
144,kamwenge,0.1866,30.4539,291.37,72,96,0.79,UG,1733435855
145,west island,-12.1568,96.8225,300.14,78,40,6.69,CC,1733435857
146,hadibu,12.65,54.0333,298.36,71,6,7.09,YE,1733435859
147,hamilton,39.1834,-84.5333,267.43,58,1,7.6,US,1733435861
148,mawu,34.4307,104.9176,268.97,52,100,0.33,CN,1733435863
